name,price,availability,item_type,description,product_format,number_in_case,product_weight_numeric,product_weight_metric
Go & Grow by Similac NON-GMO Milk-Based Toddler Drink Powder With 2'-FL HMO,$43.96,In stock,SKU#:67148,"TODDLER DRINK: A non-GMO,* milk-based toddler drink that helps balance your toddler’s (12-36 months) diet while you introduce new foods (*Ingredients not genetically engineered.) 


IMMUNITY: Go & Grow by Similac with HMO is the first and only toddler drink with 2’-FL human milk oligosaccharide,† an immune-nourishing prebiotic (†Not from human milk.) 


BRAIN & EYE: DHA, Lutein, and Vitamin E are important nutrients for toddler brain and eye development that are found in foods kids often don’t eat—like fish, spinach, and broccoli 


1 CUP PER DAY: Just 1 sippy cup‡ provides key nutrients your toddler needs—like iron, Vitamins C & E, and DHA, that milk alone can’t provide (‡1 sippy cup refers to 8 fl oz.) 


PREBIOTICS: Supports digestive health as you introduce new foods. Also non-GMO* and made with no artificial growth hormones§ (*Ingredients not genetically engineered.) (§No significant difference has been shown between milk derived from rbST treated and non-rbST treated cows.) 

Go & Grow by Similac with HMO is the first and only toddler drink with 2’-FL human milk oligosaccharide,† an immune-nourishing prebiotic. It’s also non-GMO* and the first leading toddler drink with no artificial growth hormones.§ It has key nutrients, including DHA, Lutein, and Vitamin E for brain and eye development. Go & Grow by Similac with HMO complements your toddler’s diet as you introduce new foods. Just add water! 
*Ingredients not genetically engineered.
†Not from human milk.
§No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
",stickpack, 4-16 packs                ,17.4g,17.4g
Similac Special Care 30 ,$83.99,In stock,SKU#:67448,"Use as directed by a physician. A 30 Cal/fl oz iron-fortified feeding for growing, low-birth-weight infants and premature infants.
Features:
OptiGRO™ is our exclusive blend of DHA, lutein and vitamin E: these important ingredients are found in breastmilk.

DHA for brain development
Lutein to support eye health
Vitamin E, an important nutrient found in breast milk to support developing cells
Halal, Kosher

Not intended for feeding low-birth-weight infants after they reach a weight of 3600 g (approximately 8 lb) or as directed by a doctor.
Does not include nipples or rings.
",bottle, Case of 48                ,2,oz
Similac Special Care 30 ,$7.00,BACKORDER,SKU#:67448p4,"Use as directed by a physician. A 30 Cal/fl oz iron-fortified feeding for growing, low-birth-weight infants and premature infants.
Features:
OptiGRO™ is our exclusive blend of DHA, lutein and vitamin E: these important ingredients are found in breastmilk.

DHA for brain development
Lutein to support eye health
Vitamin E, an important nutrient found in breast milk to support developing cells
Halal, Kosher

Not intended for feeding low-birth-weight infants after they reach a weight of 3600 g (approximately 8 lb) or as directed by a doctor.
Does not include nipples or rings.
",bottle, Pack of 4                ,2,oz
Similac Pro-Advance Infant Formula Powder,$65.88,In stock,SKU#:66781,"Similac Pro-Advance is the first infant formula with 2’-FL Human Milk Oligosaccharide*, designed to be closer than ever to breast milk.
• Similac with 2-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function† between formula-fed and breastfed infants
• Unlike other formulas, Similac has 2’-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are NON-GMO‡
• From Birth – 12 months; complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk

*Not from human milk
†As measured in blood samples in a clinical study
‡Ingredients not genetically engineered
",packets, Case of 64                ,16.4g,16.4g
Similac 5% Glucose Water,$96.99,In stock,SKU#:51002,"For initial or supplemental feeding as directed by physician. For oral use only. Do not store at extreme temperatures.
",bottle, Case of 48                ,2,oz
Similac Pro-Advance Infant Formula Powder,$33.99,In stock,SKU#:66081e,"Similac Pro-Advance is the first infant formula with 2’-FL Human Milk Oligosaccharide*, designed to be closer than ever to breast milk.
• Similac with 2-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function† between formula-fed and breastfed infants
• Unlike other formulas, Similac has 2’-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are NON-GMO‡
• From Birth – 12 months; complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
†As measured in blood samples in a clinical study
‡Ingredients not genetically engineered
",container,,1.45,lb
Similac Sensitive Infant Formula  Powder,$29.49,In stock,SKU#:5081776e,"Complete Nutrition for Sensitive Tummies, featuring OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• For fussiness and gas due to lactose sensitivity* (*Typical Value 0.1g lactose/100 kcal compared to Similac Advance, 11g lactose /100 kcal)
• Easy to digest, milk-based*
*Not for infants with galactosemia.
",container,,1.41,lb
Similac Sensitive Infant Formula Powder,$37.99,In stock,SKU#:62951e,"Complete Nutrition for Sensitive Tummies, featuring OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• For fussiness and gas due to lactose sensitivity* (*Typical Value 0.1g lactose/100 kcal compared to Similac Advance, 11g lactose /100 kcal)
• Easy to digest, milk-based*
*Not for infants with galactosemia.
",can,,29.8,oz
Go & Grow by Similac Sensitive NON-GMO Toddler Drink Powder,$21.99,In stock,SKU#:64790e,"Go & Grow by Similac Sensitive NON-GMO is a milk-based toddler drink that helps balance your toddler's diet while you introduce new foods.
• Complement to Toddler Nutrition for toddlers from 12-24 months
• Features OptiGRO, an exclusive blend of DHA, Lutein and Vitamin E, like those found in foods kids won't eat (fish, spinach, broccoli)
• One serving has over 25 essential vitamins and minerals and at least 30% of the daily value of iron, calcium and vitamins C and E
• Just mix with water in a sippy cup or bottle
• NON-GMO*
• Gluten-free
• Kosher, Halal
Not for children with galactosemia
*Ingredients not genetically engineered
",can,,1.46,lb
Similac Soy Isomil Infant Formula Powder,$32.49,In stock,SKU#:5081978e,"Soy Based formula for infants who need cow's milk-free nutrition. Similac Soy Isomil features OptiGRO™, an exclusive blend of brain & eye nourishing nutrients for baby’s development.
• Lactose-free; suitable for infants with galactosemia
• Easy to digest
• Suitable for infants and children of vegetarian families
• Features OptiGRO, an exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E
Soy formulas are not recommended for premature infants with birth weights less than 1800 g
",container,,1.45,lb
Similac For Spit-Up Infant Formula Powder,$31.49,BACKORDER,SKU#:5372976e,"Help your baby spit-up less frequently with easy-to-digest Similac For Spit-Up. Clinically shown to reduce the frequency of spit-up by 54%*. Similac For Spit-Up also has OptiGRO™ a unique blend of DHA Lutein and vitamin E that supports the developing eyes and brain.
• Easy-to-digest formula with added rice starch
Not for infants or children with galactosemia.

*Among healthy 2-month-old infants when compared with standard formula.
",container,,1.41,lb
Similac NeoSure Infant Formula Powder,$21.49,In stock,SKU#:5743076e,"A 22 Cal/fl oz, nutrient-enriched* formula for babies who were born prematurely.  Similac NeoSure is clinically shown to promote excellent catch-up growth during the first year.1 

Has increased protein, vitamins, and minerals compared to term infant formula
Has increased calories for growth
Calcium and phosphorus for baby’s growing bones
Features OptiGRO, our exclusive blend of important ingredients found in breast milk:  DHA, Lutein, and Vitamin E
Easy-to-digest, milk-based formula

 * Increased protein, vitamins, and minerals compared to term infant formula.
1 Carver JD, et al. Pediatrics. 2001;107:683-689.
",can,,13.1,oz
Similac Advance for Neuro Support Non-GMO Infant Formula Powder,$31.49,In stock,SKU#:64242e,"NEURO SUPPORT: Has our exclusive blend of DHA, Lutein, and Vitamin E to help support brain & eye development
TRUSTED FORMULA: Similac—the #1 infant formula brand and the #1 brand chosen by moms*
NO ARTIFICIAL GROWTH HORMONES: Similac is the first leading infant formula brand with no artificial growth hormones†
NON-GMO‡: Similac Sensitive for Neuro Support has ingredients that are not genetically engineered

Similac Advance for Neuro Support has our exclusive blend of DHA, Lutein, and Vitamin E to help support your baby’s brain & eye development. It’s complete nutrition for your baby’s first year from the brand trusted by moms for more than 90 years. Similac Advance is non-GMO‡ and has no artificial growth hormones.†
* Total US infant formula, all outlets as of 12/2018, Nielsen data.
† No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
‡ Ingredients not genetically engineered.
",container,,1.45,lb
Similac Organic Infant Formula Powder,$33.49,In stock,SKU#:5082178e,"Similac Organic is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• For infants from birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E
• Certified USDA Organic
• Made with wholesome organic milk and other organic ingredients
",container,,1.45,lb
Similac Slow Flow Nipple and Ring,$48.99,In stock,SKU#:53894p50,"To support the underdeveloped “suck-swallow-breathe” coordination of preterm infants. Provides a more controlled flow rate vs faster-flow nipples for increased physiological stability and a more efficient sucking pattern.1 Latex-free.
Features
• Nipples and rings individually prepackaged and ready for use.
• Nipples and rings form a seal to prevent leakage during feeding.
• Disposable – not for reuse.
• Easy to use.
Precautions
• DO NOT use as a pacifier, as it presents a choking hazard.
• DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
• Keep out of reach of children.

1Chang YJ, et al. J Nurs Res 2007;150(3):215-223

SKU # 53894p50
",,,,
Similac Infant Nipple and Ring,$48.99,In stock,SKU#:00079p50,"For infants with developed sucking strength. Latex-free.
Features:
• Nipples and rings individually prepackaged and ready for use.
• Nipples and rings form a seal to prevent leakage during feeding.
• Disposable – not for reuse.
• Easy to use.
Precautions: 
• DO NOT use as a pacifier, as it presents a choking hazard.
• DO NOT reuse, as reuse can cause deterioration or separation of the rubber, presenting a choking hazard.
• Keep out of reach of children.

SKU # 00079p50
",,,,
